,survived,pclass,age,embarked,home.dest,room,ticket,boat,sex
0,1,0,29.0,3,311,11,30,87,0
1,0,0,2.0,3,232,41,0,0,0
2,0,0,30.0,3,232,41,0,12,1
3,0,0,25.0,3,232,41,0,0,0
4,1,0,0.9167,3,232,40,0,79,1
5,1,0,47.0,3,238,49,0,88,1
6,1,0,63.0,3,163,46,8,78,0
7,0,0,39.0,3,25,5,0,0,1
8,1,0,58.0,3,23,18,0,87,0
9,0,0,71.0,1,230,0,0,34,1
10,0,0,47.0,1,238,0,25,8,1
11,1,0,19.0,1,238,0,25,89,0
12,1,0,31.19,1,259,9,10,95,0
13,1,0,31.19,3,159,3,0,97,1
14,0,0,31.19,3,238,0,0,0,1
15,1,0,50.0,1,231,14,0,92,0
16,0,0,24.0,1,231,14,0,0,1
17,0,0,36.0,1,365,29,0,0,1
18,1,0,37.0,3,238,43,0,90,1
19,1,0,47.0,3,238,43,0,90,0
20,1,0,26.0,1,238,23,0,90,1
21,0,0,25.0,1,286,0,0,16,1
22,1,0,25.0,1,99,10,0,93,1
23,1,0,19.0,1,99,10,0,93,0
24,1,0,28.0,3,314,0,1,99,1
25,0,0,45.0,3,342,0,0,39,1
26,1,0,39.0,1,132,4,0,93,1
27,1,0,30.0,3,370,31,0,94,0
28,1,0,58.0,3,32,19,0,94,0
29,0,0,31.19,3,209,42,0,0,1
30,1,0,45.0,1,77,0,0,89,0
31,1,0,22.0,3,310,0,0,92,0
32,1,0,31.19,3,216,0,0,85,1
33,0,0,41.0,3,270,0,0,0,1
34,0,0,48.0,1,250,0,16,32,1
35,0,0,31.19,1,266,0,0,0,1
36,1,0,44.0,1,93,0,22,92,0
37,1,0,59.0,3,28,18,0,99,0
38,1,0,60.0,1,266,0,0,94,0
39,0,0,45.0,3,351,0,0,0,1
40,1,0,31.19,3,238,0,0,91,1
41,1,0,53.0,1,351,0,0,92,0
42,1,0,58.0,1,129,12,26,88,0
43,1,0,36.0,1,16,12,26,88,1
44,0,0,33.0,3,238,0,0,0,1
45,0,0,31.19,3,230,0,0,0,1
46,0,0,31.19,3,230,0,0,0,1
47,1,0,36.0,3,53,0,0,98,1
48,1,0,36.0,3,53,0,0,89,0
49,1,0,14.0,3,53,0,0,89,0
50,1,0,11.0,3,53,0,0,89,1
